,Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
8780,LAWYER,645,3550900833478133,01/33,548,0
7010,ENGINEER,88558,213128173528250,07/33,917,0
7424,ENGINEER,48908,4432744572908377,04/27,600,1
6895,DOCTOR,25335,30389967230922,01/25,315,0
7618,DOCTOR,86034,180083770842951,06/29,228,0
4566,LAWYER,98752,36255348838085,04/25,6288,0
5710,LAWYER,35879,180033638469430,01/28,9809,0
1676,ENGINEER,91285,38072290287015,02/34,818,0
324,DOCTOR,40610,3542894986563745,06/32,281,0
1933,DOCTOR,86060,213187530060597,10/33,785,1
389,LAWYER,18455,630497169569,11/29,200,0
488,LAWYER,65784,3557640148971116,09/27,970,1
9543,LAWYER,6289,4976213786012,05/33,887,0
3441,DOCTOR,64234,4712702746362922,04/25,753,1
1146,ENGINEER,1399,3522456358402862,10/28,939,1
3361,DOCTOR,27149,4310983846170488437,11/28,731,0
7824,LAWYER,7864,3532588016834868,01/28,1019,0
7040,ENGINEER,40116,30198546946704,12/28,426,0
7287,DOCTOR,75343,4649901901232940,03/28,829,0
7219,LAWYER,23414,4879753930199538,08/31,8487,0
6203,LAWYER,35606,2302022058455135,05/33,79,1
832,LAWYER,25345,213154439821693,01/25,856,0
2455,ENGINEER,78363,3546597141492264,08/26,704,0
4631,ENGINEER,37476,6011513367815384,08/30,864,1
2905,LAWYER,23041,4497890171957625854,08/33,938,0
6174,ENGINEER,5552,379560580302129,05/32,3163,0
408,ENGINEER,53987,4032733313956060438,03/27,965,0
9411,ENGINEER,8407,4789697422834,04/33,931,0
7063,ENGINEER,74587,3513351202426749,11/30,260,1
4492,ENGINEER,21502,2709255866392822,03/33,699,0
7853,ENGINEER,77804,3501933200650109,07/32,872,1
5090,ENGINEER,84779,4399969250914910718,10/34,368,0
3788,LAWYER,48519,370780099239484,06/26,740,1
37,DOCTOR,35956,213118318256057,07/29,848,0
8640,DOCTOR,75835,4527503102178,04/32,301,0
7666,LAWYER,2616,4749288024796731,11/29,563,0
9483,ENGINEER,91060,3586529639524515,10/29,666,0
9355,ENGINEER,52836,38072555637110,11/29,871,0
4083,LAWYER,65363,501808682584,04/25,911,0
4209,DOCTOR,88203,180039318000874,03/29,673,0
4662,DOCTOR,40439,676112414369,12/29,617,0
9681,DOCTOR,65701,3531337124860824,05/28,423,0
1191,LAWYER,25621,4193561273431478,06/28,252,0
9789,ENGINEER,54636,4796907630651300656,01/31,689,0
9202,LAWYER,86361,4007631438004415,12/26,464,0
3703,ENGINEER,89598,4282167848876466583,12/28,709,1
3724,ENGINEER,63743,2235565391014011,01/30,318,0
8653,LAWYER,86785,2280133937069082,11/33,153,1
649,LAWYER,42393,213174567344060,04/26,75,0
9457,ENGINEER,35466,3513631233994686,01/31,304,0
9277,LAWYER,7391,4305233297083,01/26,511,0
6211,LAWYER,38706,4963074081561344,10/25,567,0
4983,LAWYER,52820,630451458792,07/33,8,0
1729,DOCTOR,89290,30566917524260,10/28,161,0
9844,ENGINEER,86000,3533995525349230,04/31,284,0
2399,DOCTOR,27848,3577197964303375,01/30,254,1
9775,ENGINEER,55851,676101068705,10/28,376,0
3151,DOCTOR,62175,4829343428899079,01/29,947,0
4226,ENGINEER,11698,378129222725716,08/29,602,0
1482,DOCTOR,78935,3516447872727460,03/34,525,0
3123,DOCTOR,69926,3508061114707758,09/26,444,0
4088,ENGINEER,33466,3560247859213145,11/28,121,0
2234,ENGINEER,8092,213145584999060,05/25,206,0
5202,LAWYER,8665,4560763206413798,12/28,399,0
3619,ENGINEER,55304,4285160582941546463,09/25,259,0
4775,LAWYER,2913,6562302924784306,01/31,131,1
439,LAWYER,36472,4546406916476,11/25,361,0
7378,ENGINEER,40236,6515611725302680,06/29,5041,0
2410,DOCTOR,15942,2296186721790182,06/34,448,0
3094,ENGINEER,91414,30499861821088,12/32,282,0
4545,DOCTOR,67441,4789489755768763,01/27,842,1
6780,ENGINEER,22445,371724421429909,04/30,11,0
6732,ENGINEER,19363,3539755078120097,02/25,108,0
303,ENGINEER,40836,3540762294597493,06/31,196,0
4691,ENGINEER,66236,4984869363758339561,05/31,867,0
9840,LAWYER,70245,4723957335238,08/25,749,1
8322,DOCTOR,92390,4630291038095985,09/28,482,0
817,ENGINEER,44360,639052477366,12/32,41,0
7755,LAWYER,99730,4473005076485225,10/30,868,0
1191,LAWYER,25621,4193561273431478,06/28,252,0
5862,LAWYER,8863,5441187324787887,02/33,502,0
7424,ENGINEER,48908,4432744572908377,04/27,600,1
6932,LAWYER,16709,4157642266937605967,02/28,672,0
408,ENGINEER,53987,4032733313956060438,03/27,965,0
3636,LAWYER,39918,30281893701532,12/28,81,0
5084,ENGINEER,1066,180040985904000,02/31,57,0
8429,DOCTOR,29591,213190593284971,05/33,201,1
1282,LAWYER,72096,4517089937741,09/25,210,0
3689,LAWYER,63765,4475966895203609479,10/28,51,1
5626,DOCTOR,14840,4206448203074229,06/26,458,1
2865,DOCTOR,11322,4814604605081184877,04/34,862,0
7437,ENGINEER,81481,6011914143085203,01/32,334,0
6389,ENGINEER,9030,213122996239989,06/31,92,0
2737,LAWYER,4079,349778512872095,11/25,436,1
4640,DOCTOR,76580,3579486456100912,11/27,83,0
7534,LAWYER,28132,566192503746,05/26,372,0
4073,ENGINEER,38440,4214507244682,07/32,101,1
316,LAWYER,64989,6554964035716947,12/27,17,0
8386,ENGINEER,39126,3518970260470094,06/31,498,0
2002,DOCTOR,98145,30096617374097,08/27,658,1
3259,DOCTOR,22650,4113015937284,11/30,55,1
1877,LAWYER,4707,30321200224131,04/34,404,0
6691,DOCTOR,88205,4355079107914589,02/25,685,0
1211,DOCTOR,46858,4910938537330021,07/31,360,0
8294,LAWYER,65905,4459767549232710,11/29,4783,0
675,ENGINEER,80924,30195523583682,11/31,574,1
8858,ENGINEER,5110,3528995877712347,08/34,653,0
1642,ENGINEER,2473,3509180140250184,10/33,872,1
7462,DOCTOR,8341,4136943620217570,07/31,950,1
395,LAWYER,86008,3557074503759942,10/30,595,0
6915,LAWYER,80277,4946528546468,12/28,479,0
8769,DOCTOR,55128,4492161077271,07/31,479,1
2683,ENGINEER,97940,376845163881380,03/27,516,1
9369,LAWYER,66743,36689841259557,02/29,546,1
8361,ENGINEER,50196,630488213038,07/25,719,1
2121,DOCTOR,23351,349288466532695,03/27,771,0
3167,DOCTOR,69168,349234956237031,11/31,960,0
4790,LAWYER,37977,3519628153353525,07/25,415,0
8279,LAWYER,63108,180074778380250,08/34,7686,1
6990,DOCTOR,88576,30301845533211,10/25,112,0
4612,LAWYER,37584,36584674733481,10/26,770,1
6788,DOCTOR,58019,563702495307,02/31,882,0
2042,LAWYER,32263,4403479453153,09/33,635,0
9773,LAWYER,35127,3554378103823625,05/25,151,1
374,LAWYER,85216,3575287556401836,02/28,232,0
9241,DOCTOR,57643,4072957519740614091,03/25,418,0
7065,LAWYER,2653,6545732745377496,05/32,813,0
7467,LAWYER,15245,3565659470260732,02/26,457,0
7960,DOCTOR,8797,4089561629678990348,07/30,232,0
4885,ENGINEER,84741,3588367055843327,01/34,151,1
3298,LAWYER,88021,2292476518222034,07/30,393,1
5871,DOCTOR,43304,340825707173620,01/32,110,0
5101,ENGINEER,48819,340400766988175,06/32,660,1
4484,DOCTOR,73791,3536644961505726,10/32,75,0
2950,DOCTOR,96252,38098223051772,11/32,598,0
8157,DOCTOR,68657,4895530719930683,04/26,358,1
7990,ENGINEER,67054,4227153415187386073,02/27,365,0
6314,LAWYER,32632,5272771961600729,10/31,888,0
1233,LAWYER,46888,4709677168901222,01/34,848,0
4889,LAWYER,45529,6011395035097821,09/25,162,1
8626,DOCTOR,70023,213157947758299,07/29,618,0
78,ENGINEER,46728,6011222066157292,12/32,389,0
9487,ENGINEER,98110,4436831222849378,12/28,668,0
2736,DOCTOR,52646,377807519567401,09/30,7843,1
9395,LAWYER,85237,503898046589,04/25,921,0
5837,LAWYER,96054,2225446249968397,02/26,686,0
9753,DOCTOR,95652,503848106483,03/30,728,0
9163,DOCTOR,34440,4697702786509,12/27,82,0
6405,DOCTOR,99409,4637963834166383,05/31,21,0
9508,LAWYER,59072,3570891609500521,04/25,512,0
2724,DOCTOR,44608,6525590407402174,12/28,581,0
1359,LAWYER,35139,4434748974874382,11/31,616,0
3635,LAWYER,72223,4266387419056934,08/34,268,0
7350,ENGINEER,43447,30290728668030,01/33,534,1
8897,LAWYER,97587,4170082839025,01/25,421,0
3715,DOCTOR,87430,4154855536798854634,08/34,487,0
8500,LAWYER,92087,4992367177296,02/29,571,0
6276,LAWYER,80450,213154030527939,06/32,154,1
8350,LAWYER,62644,213178215884096,11/25,203,0
724,LAWYER,19416,4448930985236057695,09/25,764,0
5841,ENGINEER,11188,6011051888174882,10/28,829,1
7882,LAWYER,49659,30528001995202,08/31,930,1
5736,LAWYER,50353,36502764466119,08/32,356,1
4118,ENGINEER,98047,180053643752547,11/30,2,0
3546,DOCTOR,63304,4905693344061604534,07/31,6073,0
767,LAWYER,6790,4737664587881,07/30,538,0
7115,ENGINEER,32682,180069221915363,08/25,413,0
6911,ENGINEER,70124,4395865402334806389,05/29,502,0
7163,ENGINEER,28390,6011183874478942,02/31,589,0
2818,ENGINEER,59809,501809412866,09/33,370,0
8167,DOCTOR,25093,4766487082863176998,12/25,575,1
5602,ENGINEER,91819,30475261530552,10/26,303,0
3453,DOCTOR,34659,180093083644457,12/31,5038,0
8859,LAWYER,20681,3586648802871667,11/25,557,1
4391,ENGINEER,92243,2553869425900722,11/24,935,1
1098,DOCTOR,45763,3561828060648663,07/33,111,1
1167,DOCTOR,9891,4712021110999197,06/27,186,1
3839,DOCTOR,39437,6011357594756353,04/34,6216,0
8373,LAWYER,74091,4241579649040999,05/33,228,0
1608,DOCTOR,83826,2716572577128571,10/32,357,0
7901,LAWYER,52754,2225860217788019,08/28,788,1
9675,DOCTOR,50746,4740817644423547,07/31,630,1
1081,DOCTOR,41146,2225098487399478,08/34,3142,1
9163,DOCTOR,34440,4697702786509,12/27,82,0
2303,ENGINEER,27502,373662301256471,05/29,9133,0
3815,DOCTOR,90619,30517153481616,12/29,780,0
883,DOCTOR,35607,370428506136691,09/31,618,0
5574,DOCTOR,84489,379258469220559,09/32,469,1
5847,ENGINEER,14655,502082479697,12/32,677,0
12,LAWYER,3092,3584353125903535,10/32,666,0
1629,DOCTOR,44417,3511531751352592,10/29,14,0
6932,LAWYER,16709,4157642266937605967,02/28,672,0
7630,ENGINEER,91286,374070760234147,11/27,222,1
7632,LAWYER,77351,3563567331622739,08/25,504,0
6621,ENGINEER,65138,639004452509,07/28,85,0
9047,LAWYER,6111,3598128026860834,01/26,961,1
950,LAWYER,61105,4784440057742191,07/31,766,0
4986,DOCTOR,69313,341477134496429,01/28,715,0
1141,LAWYER,38457,30274194767203,07/25,138,0
7592,ENGINEER,7134,6554673843607004,06/31,5317,1
8854,DOCTOR,62823,30293428832864,04/27,137,0
6427,DOCTOR,76976,2647581566768515,12/31,279,0
3335,ENGINEER,59304,6011792095647646,04/25,932,1
6314,LAWYER,32632,5272771961600729,10/31,888,0
8616,ENGINEER,4058,2626260039858782,06/25,130,0
4724,LAWYER,62861,6506455168111658,04/30,279,0
6460,ENGINEER,38505,501897943764,04/26,131,1
6969,DOCTOR,63030,30491141362496,01/29,984,0
106,DOCTOR,52236,676377892564,01/33,737,0
5961,ENGINEER,8976,676254173385,04/34,605,0
7517,LAWYER,16052,30109221864120,12/32,631,1
3064,ENGINEER,64049,379012563284486,07/32,636,0
6038,LAWYER,28095,180091599624690,01/34,632,0
1938,DOCTOR,34668,3556853334900408,11/26,90,0
48,DOCTOR,61284,4598579635222170,03/33,3575,0
3127,ENGINEER,61691,676282625141,10/27,309,1
324,DOCTOR,40610,3542894986563745,06/32,281,0
6381,LAWYER,51817,503820013152,07/33,466,0
4859,DOCTOR,45203,30475696483971,06/25,437,1
7917,LAWYER,75384,4653255227472372,10/25,259,0
9004,ENGINEER,1298,6011118581991522,05/27,892,1
4705,ENGINEER,76814,3565227201800455,04/34,366,0
3875,DOCTOR,37549,2426083104304900,01/30,692,0
6417,DOCTOR,76940,3523676944847739,04/33,73,1
7380,ENGINEER,53760,4405350392880722,11/32,5219,0
479,LAWYER,39287,4076765093911310,01/26,844,0
8033,ENGINEER,10164,630466741638,09/34,206,1
729,DOCTOR,84597,4954672933466314,07/25,154,0
6247,DOCTOR,37873,676324504726,05/34,630,0
8473,ENGINEER,51298,5115487757133921,11/32,72,0
6804,ENGINEER,45049,3546294986024200,01/32,285,0
4628,ENGINEER,87968,6011282775302134,07/29,44,0
2707,LAWYER,11705,378109008644430,06/34,146,0
1665,DOCTOR,60866,6011231125929120,05/29,489,0
7080,LAWYER,35531,4205598424093639,01/25,739,0
883,DOCTOR,35607,370428506136691,09/31,618,0
3024,DOCTOR,6866,4465605032463284490,11/31,754,0
1029,DOCTOR,17569,4049773866421156,03/34,518,0
6958,LAWYER,65364,2247533299344233,03/29,8,1
9515,DOCTOR,30812,2714215575743577,09/29,533,0
3624,LAWYER,78725,30468015349353,09/25,252,1
